,county,school_dist,students_with_disabilities_final_grad_base,students_with_disabilities_graduates_total,students_with_disabilities_graduation_rate,students_with_disabilities_completers_total,students_with_disabilities_completion_rate,limited_english_proficient_final_grad_base,limited_english_proficient_graduates_total,limited_english_proficient_graduation_rate,limited_english_proficient_completers_total,limited_english_proficient_completion_rate,econ_disadvant_final_grad_base,econ_disadvant_graduates_total,econ_disadvant_graduation_rate,econ_disadvant_completers_total,econ_disadvant_completion_rate,migrant_final_grad_base,migrant_graduates_total,migrant_graduation_rate,migrant_completers_total,migrant_completion_rate,title_1_final_grad_base,title_1_graduates_total,title_1_graduation_rate,title_1_completers_total,title_1_completion_rate,homeless_final_grad_base,homeless_graduates_total,homeless_graduation_rate,homeless_completers_total,homeless_completion_rate,gifted_talented_final_grad_base,gifted_talented_graduates_total,gifted_talented_graduation_rate,gifted_talented_completers_total,gifted_talented_completion_rate
28,CHAFFEE,BUENA VISTA R-31,8,6,75.0,7,87.5,0,0,0.0,0,0.0,34,26,76.5,27,79.4,0,0,0.0,0,0.0,4,3,75.0,3,75.0,1,0,0.0,0,0.0,6,6,100.0,6,100.0
29,CHAFFEE,SALIDA R-32,9,6,66.7,6,66.7,5,5,100.0,5,100.0,25,19,76.0,19,76.0,0,0,0.0,0,0.0,69,61,88.4,62,89.9,2,1,50.0,1,50.0,11,11,100.0,11,100.0
30,CHEYENNE,KIT CARSON R-1,1,0,0.0,0,0.0,0,0,0.0,0,0.0,3,2,66.7,2,66.7,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0
31,CHEYENNE,CHEYENNE COUNTY RE-5,1,0,0.0,0,0.0,1,1,100.0,1,100.0,7,5,71.4,6,85.7,2,2,100.0,2,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
32,CLEAR CREEK,CLEAR CREEK RE-1,7,6,85.7,6,85.7,2,2,100.0,2,100.0,22,18,81.8,18,81.8,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,16,16,100.0,16,100.0
33,CONEJOS,NORTH CONEJOS RE-1J,11,11,100.0,11,100.0,1,1,100.0,1,100.0,64,57,89.1,57,89.1,0,0,0.0,0,0.0,69,63,91.3,63,91.3,0,0,0.0,0,0.0,0,0,0.0,0,0.0
34,CONEJOS,SANFORD 6J,3,1,33.3,2,66.7,0,0,0.0,0,0.0,10,7,70.0,8,80.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0,1,0,0.0,0,0.0,5,5,100.0,5,100.0
35,CONEJOS,SOUTH CONEJOS RE-10,1,1,100.0,1,100.0,2,1,50.0,1,50.0,18,14,77.8,14,77.8,1,0,0.0,0,0.0,22,18,81.8,18,81.8,0,0,0.0,0,0.0,1,1,100.0,1,100.0
36,COSTILLA,CENTENNIAL R-1,1,1,100.0,1,100.0,10,10,100.0,10,100.0,14,13,92.9,13,92.9,0,0,0.0,0,0.0,17,15,88.2,15,88.2,4,4,100.0,4,100.0,0,0,0.0,0,0.0
37,COSTILLA,SIERRA GRANDE R-30,0,0,0.0,0,0.0,7,7,100.0,7,100.0,16,14,87.5,14,87.5,1,1,100.0,1,100.0,1,0,0.0,0,0.0,1,0,0.0,0,0.0,3,3,100.0,3,100.0
38,CROWLEY,CROWLEY COUNTY RE-1-J,4,3,75.0,3,75.0,0,0,0.0,0,0.0,31,28,90.3,30,96.8,0,0,0.0,0,0.0,38,36,94.7,37,97.4,1,1,100.0,1,100.0,0,0,0.0,0,0.0
39,CUSTER,CUSTER COUNTY SCHOOL DISTRICT C-1,5,5,100.0,5,100.0,0,0,0.0,0,0.0,20,18,90.0,18,90.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,7,6,85.7,6,85.7
40,DELTA,DELTA COUNTY 50(J),44,30,68.2,30,68.2,30,22,73.3,22,73.3,238,188,79.0,193,81.1,5,5,100.0,5,100.0,2,0,0.0,0,0.0,10,4,40.0,5,50.0,40,39,97.5,39,97.5
41,DENVER,DENVER COUNTY 1,614,235,38.3,254,41.4,1000,527,52.7,543,54.3,3745,2010,53.7,2153,57.5,42,21,50.0,23,54.8,3581,1893,52.9,2036,56.9,283,95,33.6,106,37.5,905,720,79.6,747,82.5
42,DOLORES,DOLORES COUNTY RE NO.2,1,1,100.0,1,100.0,0,0,0.0,0,0.0,11,9,81.8,10,90.9,0,0,0.0,0,0.0,2,2,100.0,2,100.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0
43,DOUGLAS,DOUGLAS COUNTY RE 1,331,220,66.5,227,68.6,82,61,74.4,62,75.6,534,346,64.8,368,68.9,1,0,0.0,0,0.0,329,252,76.6,265,80.5,79,44,55.7,49,62.0,266,262,98.5,265,99.6
44,EAGLE,EAGLE COUNTY RE 50,31,18,58.1,18,58.1,142,68,47.9,68,47.9,149,113,75.8,113,75.8,2,2,100.0,2,100.0,1,0,0.0,0,0.0,11,7,63.6,7,63.6,45,43,95.6,44,97.8
45,ELBERT,ELIZABETH C-1,12,10,83.3,10,83.3,4,1,25.0,1,25.0,36,29,80.6,29,80.6,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,24,23,95.8,23,95.8
46,ELBERT,KIOWA C-2,1,1,100.0,1,100.0,2,2,100.0,2,100.0,10,10,100.0,10,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,2,2,100.0,2,100.0,1,1,100.0,1,100.0
47,ELBERT,BIG SANDY 100J,4,4,100.0,4,100.0,0,0,0.0,0,0.0,14,13,92.9,13,92.9,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
48,ELBERT,ELBERT 200,2,1,50.0,1,50.0,0,0,0.0,0,0.0,4,2,50.0,2,50.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,3,3,100.0,3,100.0
49,ELBERT,AGATE 300,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
50,EL PASO,CALHAN RJ-1,5,4,80.0,4,80.0,0,0,0.0,0,0.0,23,21,91.3,21,91.3,0,0,0.0,0,0.0,6,6,100.0,6,100.0,1,1,100.0,1,100.0,5,5,100.0,5,100.0
51,EL PASO,HARRISON 2,48,28,58.3,28,58.3,66,44,66.7,44,66.7,385,287,74.5,293,76.1,1,1,100.0,1,100.0,6,4,66.7,4,66.7,8,6,75.0,6,75.0,48,44,91.7,44,91.7
52,EL PASO,WIDEFIELD 3,81,41,50.6,43,53.1,9,6,66.7,6,66.7,257,183,71.2,190,73.9,0,0,0.0,0,0.0,9,4,44.4,5,55.6,24,13,54.2,14,58.3,14,12,85.7,12,85.7
53,EL PASO,FOUNTAIN 8,32,23,71.9,23,71.9,9,8,88.9,8,88.9,161,122,75.8,124,77.0,0,0,0.0,0,0.0,3,2,66.7,2,66.7,39,26,66.7,26,66.7,1,1,100.0,1,100.0
54,EL PASO,COLORADO SPRINGS 11,189,66,34.9,69,36.5,125,60,48.0,63,50.4,1142,621,54.4,678,59.4,1,0,0.0,0,0.0,47,17,36.2,20,42.6,88,34,38.6,37,42.0,250,225,90.0,231,92.4
55,EL PASO,CHEYENNE MOUNTAIN 12,20,16,80.0,17,85.0,2,2,100.0,2,100.0,30,23,76.7,24,80.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0,1,0,0.0,0,0.0,62,61,98.4,61,98.4
56,EL PASO,MANITOU SPRINGS 14,5,5,100.0,5,100.0,0,0,0.0,0,0.0,44,37,84.1,41,93.2,0,0,0.0,0,0.0,1,1,100.0,1,100.0,0,0,0.0,0,0.0,11,11,100.0,11,100.0
57,EL PASO,ACADEMY 20,111,65,58.6,69,62.2,28,21,75.0,21,75.0,276,210,76.1,216,78.3,0,0,0.0,0,0.0,2,2,100.0,2,100.0,11,6,54.5,6,54.5,294,287,97.6,290,98.6
58,EL PASO,ELLICOTT 22,4,1,25.0,1,25.0,1,1,100.0,1,100.0,37,30,81.1,31,83.8,1,1,100.0,1,100.0,24,23,95.8,23,95.8,2,1,50.0,1,50.0,1,1,100.0,1,100.0
59,EL PASO,PEYTON 23 JT,4,4,100.0,4,100.0,0,0,0.0,0,0.0,17,17,100.0,17,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,2,2,100.0,2,100.0
60,EL PASO,HANOVER 28,2,2,100.0,2,100.0,2,2,100.0,2,100.0,12,10,83.3,10,83.3,1,1,100.0,1,100.0,14,12,85.7,12,85.7,2,2,100.0,2,100.0,0,0,0.0,0,0.0
61,EL PASO,LEWIS-PALMER 38,33,16,48.5,16,48.5,11,11,100.0,11,100.0,51,40,78.4,40,78.4,0,0,0.0,0,0.0,2,1,50.0,1,50.0,1,1,100.0,1,100.0,85,82,96.5,84,98.8
62,EL PASO,FALCON 49,78,50,64.1,50,64.1,23,18,78.3,18,78.3,258,213,82.6,213,82.6,0,0,0.0,0,0.0,2,1,50.0,1,50.0,7,6,85.7,6,85.7,86,83,96.5,83,96.5
63,EL PASO,EDISON 54 JT,2,2,100.0,2,100.0,0,0,0.0,0,0.0,8,6,75.0,6,75.0,0,0,0.0,0,0.0,3,3,100.0,3,100.0,0,0,0.0,0,0.0,5,3,60.0,3,60.0
64,EL PASO,MIAMI/YODER 60 JT,2,1,50.0,1,50.0,0,0,0.0,0,0.0,10,9,90.0,9,90.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
65,FREMONT,CANON CITY RE-1,42,22,52.4,22,52.4,0,0,0.0,0,0.0,171,94,55.0,108,63.2,0,0,0.0,0,0.0,11,4,36.4,8,72.7,5,0,0.0,2,40.0,26,24,92.3,24,92.3
66,FREMONT,FREMONT RE-2,9,7,77.8,7,77.8,1,1,100.0,1,100.0,60,47,78.3,51,85.0,0,0,0.0,0,0.0,28,24,85.7,26,92.9,1,1,100.0,1,100.0,9,8,88.9,9,100.0
67,FREMONT,COTOPAXI RE-3,2,1,50.0,1,50.0,0,0,0.0,0,0.0,10,8,80.0,9,90.0,0,0,0.0,0,0.0,14,11,78.6,12,85.7,0,0,0.0,0,0.0,2,2,100.0,2,100.0
68,GARFIELD,ROARING FORK RE-1,34,27,79.4,28,82.4,69,40,58.0,40,58.0,101,73,72.3,73,72.3,1,1,100.0,1,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39,39,100.0,39,100.0
69,GARFIELD,GARFIELD RE-2,21,16,76.2,16,76.2,44,28,63.6,32,72.7,149,90,60.4,111,74.5,0,0,0.0,0,0.0,7,0,0.0,2,28.6,6,5,83.3,6,100.0,18,16,88.9,18,100.0
70,GARFIELD,GARFIELD 16,4,3,75.0,3,75.0,7,6,85.7,6,85.7,48,36,75.0,37,77.1,1,1,100.0,1,100.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0,1,1,100.0,1,100.0
71,GILPIN,GILPIN COUNTY RE-1,5,2,40.0,2,40.0,1,1,100.0,1,100.0,8,5,62.5,5,62.5,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0,2,2,100.0,2,100.0
72,GRAND,WEST GRAND 1-JT.,1,1,100.0,1,100.0,0,0,0.0,0,0.0,5,5,100.0,5,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0
73,GRAND,EAST GRAND 2,4,1,25.0,2,50.0,9,4,44.4,4,44.4,27,11,40.7,17,63.0,1,1,100.0,1,100.0,1,1,100.0,1,100.0,1,0,0.0,0,0.0,6,5,83.3,5,83.3
74,GUNNISON,GUNNISON WATERSHED RE1J,9,6,66.7,7,77.8,10,5,50.0,5,50.0,26,20,76.9,20,76.9,2,1,50.0,1,50.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,11,11,100.0,11,100.0
75,HINSDALE,HINSDALE COUNTY RE 1,1,1,100.0,1,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0
76,HUERFANO,HUERFANO RE-1,5,4,80.0,5,100.0,0,0,0.0,0,0.0,33,25,75.8,28,84.8,0,0,0.0,0,0.0,4,3,75.0,3,75.0,0,0,0.0,0,0.0,5,5,100.0,5,100.0
77,HUERFANO,LA VETA RE-2,2,2,100.0,2,100.0,1,0,0.0,0,0.0,9,8,88.9,8,88.9,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,2,2,100.0,2,100.0
78,JACKSON,NORTH PARK R-1 ,2,1,50.0,1,50.0,1,1,100.0,1,100.0,8,6,75.0,6,75.0,0,0,0.0,0,0.0,13,12,92.3,12,92.3,0,0,0.0,0,0.0,2,2,100.0,2,100.0
79,JEFFERSON,JEFFERSON COUNTY R-1,602,378,62.8,392,65.1,398,205,51.5,209,52.5,2090,1351,64.6,1423,68.1,12,3,25.0,3,25.0,295,157,53.2,165,55.9,247,144,58.3,151,61.1,933,891,95.5,900,96.5
80,KIOWA,EADS RE-1,0,0,0.0,0,0.0,0,0,0.0,0,0.0,9,8,88.9,9,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,3,3,100.0,3,100.0
81,KIOWA,PLAINVIEW RE-2,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1,0,0.0,1,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0
82,KIT CARSON,ARRIBA-FLAGLER C-20,1,1,100.0,1,100.0,0,0,0.0,0,0.0,3,2,66.7,2,66.7,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0
83,KIT CARSON,HI-PLAINS R-23,2,1,50.0,1,50.0,0,0,0.0,0,0.0,5,4,80.0,4,80.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
84,KIT CARSON,STRATTON R-4,4,3,75.0,4,100.0,1,1,100.0,1,100.0,10,9,90.0,10,100.0,1,1,100.0,1,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,6,6,100.0,6,100.0
85,KIT CARSON,BETHUNE R-5,0,0,0.0,0,0.0,1,1,100.0,1,100.0,7,7,100.0,7,100.0,1,1,100.0,1,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,2,2,100.0,2,100.0
86,KIT CARSON,BURLINGTON RE-6J,8,4,50.0,4,50.0,15,11,73.3,11,73.3,31,24,77.4,24,77.4,7,4,57.1,4,57.1,1,1,100.0,1,100.0,5,3,60.0,3,60.0,2,2,100.0,2,100.0
87,LAKE,LAKE COUNTY R-1,10,3,30.0,4,40.0,24,13,54.2,13,54.2,43,29,67.4,29,67.4,3,1,33.3,1,33.3,0,0,0.0,0,0.0,0,0,0.0,0,0.0,8,8,100.0,8,100.0
88,LA PLATA,DURANGO 9-R,34,22,64.7,23,67.6,5,2,40.0,2,40.0,116,67,57.8,80,69.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,3,0,0.0,2,66.7,49,47,95.9,48,98.0
89,LA PLATA,BAYFIELD 10 JT-R,4,4,100.0,4,100.0,1,1,100.0,1,100.0,15,12,80.0,13,86.7,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,9,9,100.0,9,100.0
90,LA PLATA,IGNACIO 11 JT,8,3,37.5,3,37.5,2,2,100.0,2,100.0,31,22,71.0,22,71.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0,1,0,0.0,0,0.0,6,6,100.0,6,100.0
91,LARIMER,POUDRE R-1,190,110,57.9,114,60.0,121,88,72.7,88,72.7,617,448,72.6,469,76.0,4,3,75.0,3,75.0,5,1,20.0,1,20.0,113,77,68.1,81,71.7,274,268,97.8,270,98.5
92,BOULDER,THOMPSON R2-J,118,61,51.7,64,54.2,23,10,43.5,10,43.5,407,249,61.2,276,67.8,2,1,50.0,1,50.0,4,2,50.0,2,50.0,33,15,45.5,18,54.5,128,121,94.5,124,96.9
93,LARIMER,PARK (ESTES PARK) R-3,8,4,50.0,4,50.0,6,3,50.0,3,50.0,26,18,69.2,18,69.2,1,0,0.0,0,0.0,1,0,0.0,0,0.0,5,3,60.0,3,60.0,21,21,100.0,21,100.0
94,LAS ANIMAS,TRINIDAD 1,12,9,75.0,10,83.3,1,1,100.0,1,100.0,79,66,83.5,70,88.6,0,0,0.0,0,0.0,2,1,50.0,1,50.0,0,0,0.0,0,0.0,3,3,100.0,3,100.0
95,LAS ANIMAS,PRIMERO REORGANIZED 2,0,0,0.0,0,0.0,1,1,100.0,1,100.0,5,3,60.0,3,60.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,2,2,100.0,2,100.0
96,LAS ANIMAS,HOEHNE REORGANIZED 3,1,1,100.0,1,100.0,0,0,0.0,0,0.0,8,8,100.0,8,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0,1,1,100.0,1,100.0
97,LAS ANIMAS,AGUILAR REORGANIZED 6,3,0,0.0,0,0.0,0,0,0.0,0,0.0,12,6,50.0,6,50.0,0,0,0.0,0,0.0,13,7,53.8,7,53.8,1,0,0.0,0,0.0,0,0,0.0,0,0.0
98,LAS ANIMAS,BRANSON REORGANIZED 82,2,0,0.0,0,0.0,0,0,0.0,0,0.0,19,7,36.8,8,42.1,0,0,0.0,0,0.0,2,1,50.0,2,100.0,1,0,0.0,0,0.0,1,1,100.0,1,100.0
99,LAS ANIMAS,KIM REORGANIZED 88,0,0,0.0,0,0.0,0,0,0.0,0,0.0,3,3,100.0,3,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0
100,LINCOLN,GENOA-HUGO C113,2,0,0.0,0,0.0,0,0,0.0,0,0.0,10,4,40.0,4,40.0,0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
101,LINCOLN,LIMON RE-4J,8,6,75.0,6,75.0,1,1,100.0,1,100.0,22,18,81.8,18,81.8,0,0,0.0,0,0.0,3,2,66.7,2,66.7,1,1,100.0,1,100.0,1,1,100.0,1,100.0
102,LINCOLN,KARVAL RE-23,2,1,50.0,1,50.0,1,0,0.0,0,0.0,20,11,55.0,13,65.0,0,0,0.0,0,0.0,3,1,33.3,2,66.7,3,2,66.7,2,66.7,1,1,100.0,1,100.0
103,LOGAN,VALLEY RE-1,22,12,54.5,14,63.6,3,2,66.7,2,66.7,87,56,64.4,61,70.1,3,2,66.7,2,66.7,2,1,50.0,1,50.0,4,2,50.0,3,75.0,27,25,92.6,25,92.6
104,LOGAN,FRENCHMAN RE-3,2,2,100.0,2,100.0,0,0,0.0,0,0.0,3,3,100.0,3,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,3,3,100.0,3,100.0
105,LOGAN,BUFFALO RE-4J,2,2,100.0,2,100.0,0,0,0.0,0,0.0,10,10,100.0,10,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
106,LOGAN,PLATEAU RE-5,0,0,0.0,0,0.0,0,0,0.0,0,0.0,4,4,100.0,4,100.0,0,0,0.0,0,0.0,2,2,100.0,2,100.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0
107,MESA,DE BEQUE 49JT,0,0,0.0,0,0.0,0,0,0.0,0,0.0,4,3,75.0,3,75.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,2,2,100.0,2,100.0
108,MESA,PLATEAU VALLEY 50,23,5,21.7,5,21.7,5,0,0.0,0,0.0,67,17,25.4,29,43.3,0,0,0.0,0,0.0,18,7,38.9,9,50.0,3,0,0.0,0,0.0,2,1,50.0,2,100.0
109,MESA,MESA COUNTY VALLEY 51,192,111,57.8,114,59.4,100,64,64.0,66,66.0,538,365,67.8,379,70.4,16,10,62.5,10,62.5,9,4,44.4,5,55.6,65,34,52.3,38,58.5,133,129,97.0,129,97.0
